"Manuscript H-ID"	"Manuscript Record Title"	"repository_key (Organisation) H-ID"	"Organisation Record Title"	"repository_key (Organisation) Record Title"	idno	TEI_id	CMD
139846	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 3609B"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 3609B"	d1e40022	A
139847	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 10706"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 10706"	d1e62520	A
139848	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 15064"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 15064"	d1e89041	A
139849	"Paris, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 666"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"nouv. acq. lat. 666"	d1e31481	A
139850	"Sélestat, Bibliothèque municipale, 38"	146617	"Sélestat, Bibliothèque municipale"	"Sélestat, Bibliothèque municipale"	38	d1e91497	A
139851	"Strasbourg, Bibliothèque nationale et universitaire, 72"	146623	"Strasbourg, Bibliothèque nationale et universitaire"	"Strasbourg, Bibliothèque nationale et universitaire"	72	d1e99206	A
139852	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 3508"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 3508"	d1e91865	B
139853	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 2700"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 2700"	d1e112575	X
139854	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 6351"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 6351"	d1e61135	A
139855	"Cambrai, Bibliothèque municipale, 904"	146465	"Cambrai, Bibliothèque municipale"	"Cambrai, Bibliothèque municipale"	904	d1e41156	A
139856	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 11122"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 11122"	d1e67226	A
139857	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 3069"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 3069"	d1e34374	A
139858	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 9686"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 9686"	d1e54597	A
139859	"Paris, Bibliothèque Mazarine, 991"	146570	"Paris, Bibliothèque Mazarine"	"Paris, Bibliothèque Mazarine"	991	d1e76525	A
139860	"Paris, Bibliothèque Mazarine, 991"	146570	"Paris, Bibliothèque Mazarine"	"Paris, Bibliothèque Mazarine"	991	d1e76625	A
139861	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 1126"	146571	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	1126	d1e45321	A
139862	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 331"	146571	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	331	d1e38022	A
139863	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 8315"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 8315"	d1e40843	A
139864	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 5050"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 5050"	d1e117743	X
139865	"Cambrai, Bibliothèque municipale, 858"	146465	"Cambrai, Bibliothèque municipale"	"Cambrai, Bibliothèque municipale"	858	d1e39477	A
139866	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 8315"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 8315"	c3d1e40746	A
139867	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 14028"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 14028"	d1e83875	A
139868	"Rennes, Bibliothèque municipale, 256"	146595	"Rennes, Bibliothèque municipale"	"Rennes, Bibliothèque municipale"	256	d1e62660	A
139869	"Colmar, Bibliothèque municipale, 81"	128653	"Colmar, Bibliothèque municipale"	"Colmar, Bibliothèque municipale"	81	d1e56249	A
139870	"Paris, Bibliothèque de l'Institut de France, 363"	146565	"Paris, Bibliothèque de l'Institut de France"	"Paris, Bibliothèque de l'Institut de France"	363	d1e112159	B
139871	"Paris, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 1150"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"nouv. acq. lat. 1150"	d1e62966	B
139872	"Paris, Bibliothèque Mazarine, 681"	146570	"Paris, Bibliothèque Mazarine"	"Paris, Bibliothèque Mazarine"	681	d1e71090	A
139873	"Bourges, Bibliothèque municipale, 39"	146456	"Bourges, Bibliothèque municipale"	"Bourges, Bibliothèque municipale"	39	d1e131994	X
139874	"Chantilly, Bibliothèque et archives du musée Condé, 118-119 - 1328-1329"	146473	"Chantilly, Bibliothèque et archives du musée Condé"	"Chantilly, Bibliothèque et archives du musée Condé"	118-119	d1e20784	A
139875	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 8102"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 8102"	d1e157134	X
139876	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 1042"	146571	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	1042	d1e44291	A
139877	"Strasbourg, Bibliothèque municipale, 287"	128672	"Strasbourg, Bibliothèque municipale"	"Strasbourg, Bibliothèque municipale"	287	d1e95982	A
139878	"Strasbourg, Bibliothèque nationale et universitaire, 2934"	146623	"Strasbourg, Bibliothèque nationale et universitaire"	"Strasbourg, Bibliothèque nationale et universitaire"	2934	d1e104710	A
139879	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 4447"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 4447"	d1e94107	B
139880	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 3692"	146571	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	3692	d1e54678	A
139881	"Paris, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 3028"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"nouv. acq. lat. 3028"	d1e49341	A
139882	"Sélestat, Bibliothèque municipale, 60 - 39"	146617	"Sélestat, Bibliothèque municipale"	"Sélestat, Bibliothèque municipale"	60	d1e92886	A
139883	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 1007"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 1007"	d1e21984	A
139884	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 16027"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 16027"	d1e99469	A
139885	"Paris, Bibliothèque Mazarine, 876"	146570	"Paris, Bibliothèque Mazarine"	"Paris, Bibliothèque Mazarine"	876	d1e74162	A
139886	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 8220"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 8220"	d1e157540	X
139887	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 7659"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 7659"	d1e74252	A
139888	"Troyes, Médiathèque du Grand Troyes, 1483"	128675	"Troyes, Médiathèque du Grand Troyes"	"Troyes, Médiathèque du Grand Troyes"	1483	d1e116792	A
139889	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 17482"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 17482"	d1e110365	A
139890	"Dijon, Bibliothèque municipale, 121"	146488	"Dijon, Bibliothèque municipale"	"Dijon, Bibliothèque municipale"	121	d1e48469	A
139891	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 17882"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 17882"	d1e112332	A
139892	"Colmar, Bibliothèque municipale, 198"	128653	"Colmar, Bibliothèque municipale"	"Colmar, Bibliothèque municipale"	198	d1e57895	A
139893	"Paris, Bibliothèque de l'Ecole des Beaux-Arts, 102"	128674	"Paris, Bibliothèque de l'Ecole des Beaux-Arts"	"Paris, Bibliothèque de l'Ecole des Beaux-Arts"	102	d1e111818	B
139894	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 958"	146571	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	958	d1e43589	A
139895	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 10560"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 10560"	d1e161350	X
139896	"Albi, Bibliothèque municipale, 104"	146410	"Albi, Bibliothèque municipale"	"Albi, Bibliothèque municipale"	104	d1e108585	X
139897	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 8353"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 8353"	d1e157770	X
139898	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 6355"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 6355"	d1e99232	B
139899	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 3135"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 3135"	d1e35455	A
139900	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 7817"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 7817"	d1e75622	A
139901	"Colmar, Bibliothèque municipale, 79"	128653	"Colmar, Bibliothèque municipale"	"Colmar, Bibliothèque municipale"	79	d1e56057	A
139902	"Colmar, Bibliothèque municipale, 151 *"	128653	"Colmar, Bibliothèque municipale"	"Colmar, Bibliothèque municipale"	"151 *"	d1e62697	A
139903	"Colmar, Bibliothèque municipale, 1933*"	128653	"Colmar, Bibliothèque municipale"	"Colmar, Bibliothèque municipale"	1933*	d1e63314	A
139904	"Troyes, Médiathèque du Grand Troyes, 1361"	128675	"Troyes, Médiathèque du Grand Troyes"	"Troyes, Médiathèque du Grand Troyes"	1361	d1e115436	A
139905	"Dijon, Bibliothèque municipale, 493"	146488	"Dijon, Bibliothèque municipale"	"Dijon, Bibliothèque municipale"	493	d1e51958	A
139906	"Strasbourg, Bibliothèque nationale et universitaire, 336"	146623	"Strasbourg, Bibliothèque nationale et universitaire"	"Strasbourg, Bibliothèque nationale et universitaire"	336	d1e143003	B
139907	"Lyon, Bibliothèque municipale, 624"	128709	"Lyon, Bibliothèque municipale"	"Lyon, Bibliothèque municipale"	624	d1e101017	B
139908	"Reims, Bibliothèque municipale, 116"	146594	"Reims, Bibliothèque municipale"	"Reims, Bibliothèque municipale"	116	c5d1e164858	X
139909	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 10419"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 10419"	d1e160593	X
139910	"Paris, Bibliothèque Mazarine, 330"	146570	"Paris, Bibliothèque Mazarine"	"Paris, Bibliothèque Mazarine"	330	d1e67885	A
139911	"Sélestat, Bibliothèque municipale, 27"	146617	"Sélestat, Bibliothèque municipale"	"Sélestat, Bibliothèque municipale"	27	d1e90754	A
139912	"Paris, Bibliothèque de l'Ecole des Beaux-Arts, 87"	128674	"Paris, Bibliothèque de l'Ecole des Beaux-Arts"	"Paris, Bibliothèque de l'Ecole des Beaux-Arts"	87	d1e65428	A
139913	"Paris, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 2185"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"nouv. acq. lat. 2185"	d1e46743	A
139914	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 16234"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 16234"	d1e103249	A
139915	"Cambrai, Bibliothèque municipale, 962"	146465	"Cambrai, Bibliothèque municipale"	"Cambrai, Bibliothèque municipale"	962	d1e43424	A
139916	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 7524"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 7524"	d1e73407	A
