"Manuscript H-ID"	"Manuscript Record Title"	"repository_key (Organisation) H-ID"	"Organisation Record Title"	"repository_key (Organisation) Record Title"	idno	TEI_id	CMD
139954	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 4801"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 4801"	d1e95005	B
139955	"Mâcon, Bibliothèque municipale, 3"	146529	"Mâcon, Bibliothèque municipale"	"Mâcon, Bibliothèque municipale"	3	d1e124855	X
139956	"Caen, Bibliothèque municipale, 32 - in-fol. 16"	146460	"Caen, Bibliothèque municipale"	"Caen, Bibliothèque municipale"	32	d1e98122	B
139957	"Caen, Bibliothèque municipale, 36 - in-fol. 20"	146460	"Caen, Bibliothèque municipale"	"Caen, Bibliothèque municipale"	36	c7d1e98227	B
139958	"Versailles, Bibliothèque municipale, 885 5 - 63 M"	146642	"Versailles, Bibliothèque municipale"	"Versailles, Bibliothèque municipale"	"885 5"	c7d1e127000	B
139959	"Besançon, Bibliothèque municipale, 481"	146446	"Besançon, Bibliothèque municipale"	"Besançon, Bibliothèque municipale"	481	d1e126356	B
139960	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 8206"	146571	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	"Paris, Bibliothèque nationale de France, Bibliothèque de l'Arsenal"	8206	d1e62778	A
139961	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 723"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 723"	d1e19474	A
139962	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 4019"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 4019"	d1e42517	A
139963	"Chambéry, Bibliothèque municipale, 106"	146471	"Chambéry, Bibliothèque municipale"	"Chambéry, Bibliothèque municipale"	106	d1e45492	A
139964	"Paris, Bibliothèque nationale de France, Manuscrits, lat. 13835"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"lat. 13835"	d1e165725	X
139965	"Paris, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 1754"	146573	"Paris, Bibliothèque nationale de France, Manuscrits"	"Paris, Bibliothèque nationale de France, Manuscrits"	"nouv. acq. lat. 1754"	d1e66814	B
