Manuscript H-ID	Manuscript Record Title	repository_key (Organisation) H-ID	Organisation Record Title	repository_key (Organisation) Record Title	idno	TEI_id	CMD	fichier_source	CMD_Vol_ar	CMD_Vol
142873	Chantilly, Bibliothèque et archives du musée Condé, 152 - 653	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	152	d1e132521	X	modified_CMDF_1enr.xml	1	I
142984	Chantilly, Bibliothèque et archives du musée Condé, 159 - 892	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	159	d1e132560	X	modified_CMDF_1enr.xml	1	I
137986	Chantilly, Bibliothèque et archives du musée Condé, 16 - 1143	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	16	d1e19571	A	modified_CMDF_1enr.xml	1	I
137856	Chantilly, Bibliothèque et archives du musée Condé, 160 - 778	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	160	d1e22354	A	modified_CMDF_1enr.xml	1	I
136967	Chantilly, Bibliothèque et archives du musée Condé, 161 - 935	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	161	d1e97286	B	modified_CMDF_1enr.xml	1	I
140664	Chantilly, Bibliothèque et archives du musée Condé, 163 - 1433	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	163	d1e97378	B	modified_CMDF_1enr.xml	1	I
133868	Chantilly, Bibliothèque et archives du musée Condé, 18 - 1410	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	18	d1e19673	A	modified_CMDF_1enr.xml	1	I
138096	Chantilly, Bibliothèque et archives du musée Condé, 187 - 709	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	187	d1e22462	A	modified_CMDF_1enr.xml	1	I
141260	Chantilly, Bibliothèque et archives du musée Condé, 19 - 1549	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	19	d1e132326	X	modified_CMDF_1enr.xml	1	I
141008	Chantilly, Bibliothèque et archives du musée Condé, 216 - 397	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	216	d1e97461	B	modified_CMDF_1enr.xml	1	I
134008	Chantilly, Bibliothèque et archives du musée Condé, 217 - 521	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	217	d1e22557	A	modified_CMDF_1enr.xml	1	I
143095	Chantilly, Bibliothèque et archives du musée Condé, 220 - 495	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	220	d1e132600	X	modified_CMDF_1enr.xml	1	I
137735	Chantilly, Bibliothèque et archives du musée Condé, 23-24 - 453 et 488	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	23-24	d1e95979	B	modified_CMDF_1enr.xml	1	I
143206	Chantilly, Bibliothèque et archives du musée Condé, 253 - 685	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	253	d1e132639	X	modified_CMDF_1enr.xml	1	I
138071	Chantilly, Bibliothèque et archives du musée Condé, 256 - 858	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	256	d1e22656	A	modified_CMDF_1enr.xml	1	I
134700	Chantilly, Bibliothèque et archives du musée Condé, 277 - 1327	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	277	d1e22755	A	modified_CMDF_1enr.xml	1	I
141261	Chantilly, Bibliothèque et archives du musée Condé, 278 - 575	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	278	d1e132678	X	modified_CMDF_1enr.xml	1	I
136741	Chantilly, Bibliothèque et archives du musée Condé, 279 - 320	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	279	d1e97556	B	modified_CMDF_1enr.xml	1	I
141372	Chantilly, Bibliothèque et archives du musée Condé, 281 - 896	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	281	d1e132717	X	modified_CMDF_1enr.xml	1	I
141483	Chantilly, Bibliothèque et archives du musée Condé, 290 - 546	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	290	d1e132756	X	modified_CMDF_1enr.xml	1	I
140073	Chantilly, Bibliothèque et archives du musée Condé, 292 - 403	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	292	d1e23630	A	modified_CMDF_1enr.xml	1	I
137738	Chantilly, Bibliothèque et archives du musée Condé, 293 - 726	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	293	d1e97652	B	modified_CMDF_1enr.xml	1	I
140198	Chantilly, Bibliothèque et archives du musée Condé, 294 - 631	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	294	d1e97736	B	modified_CMDF_1enr.xml	1	I
141594	Chantilly, Bibliothèque et archives du musée Condé, 295 - 566	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	295	d1e132795	X	modified_CMDF_1enr.xml	1	I
137644	Chantilly, Bibliothèque et archives du musée Condé, 299 - 918	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	299	d1e23738	A	modified_CMDF_1enr.xml	1	I
138004	Chantilly, Bibliothèque et archives du musée Condé, 300 - 1341	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	300	d1e23835	A	modified_CMDF_1enr.xml	1	I
133895	Chantilly, Bibliothèque et archives du musée Condé, 301 - 717	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	301	d1e23927	A	modified_CMDF_1enr.xml	1	I
140593	Chantilly, Bibliothèque et archives du musée Condé, 315 - 693	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	315	d1e24033	A	modified_CMDF_1enr.xml	1	I
138135	Chantilly, Bibliothèque et archives du musée Condé, 316 - 1122	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	316	d1e24137	A	modified_CMDF_1enr.xml	1	I
140580	Chantilly, Bibliothèque et archives du musée Condé, 323 - 704	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	323	d1e24234	A	modified_CMDF_1enr.xml	1	I
141705	Chantilly, Bibliothèque et archives du musée Condé, 334 - 569	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	334	d1e132834	X	modified_CMDF_1enr.xml	1	I
140661	Chantilly, Bibliothèque et archives du musée Condé, 337 - 1482	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	337	d1e24330	A	modified_CMDF_1enr.xml	1	I
137132	Chantilly, Bibliothèque et archives du musée Condé, 340 - 603	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	340	d1e24436	A	modified_CMDF_1enr.xml	1	I
140051	Chantilly, Bibliothèque et archives du musée Condé, 346 - 1561	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	346	d1e97822	B	modified_CMDF_1enr.xml	1	I
133856	Chantilly, Bibliothèque et archives du musée Condé, 347 - 731	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	347	d1e24559	A	modified_CMDF_1enr.xml	1	I
140217	Chantilly, Bibliothèque et archives du musée Condé, 36 - 860	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	36	d1e96070	B	modified_CMDF_1enr.xml	1	I
134178	Chantilly, Bibliothèque et archives du musée Condé, 365 - 1560	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	365	d1e24693	A	modified_CMDF_1enr.xml	1	I
139644	Chantilly, Bibliothèque et archives du musée Condé, 368 - 1375	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	368	d1e25341	A	modified_CMDF_1enr.xml	1	I
137941	Chantilly, Bibliothèque et archives du musée Condé, 370 - 1180	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	370	d1e97905	B	modified_CMDF_1enr.xml	1	I
138185	Chantilly, Bibliothèque et archives du musée Condé, 39 - 1601	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	39	c1d1e96153	B	modified_CMDF_1enr.xml	1	I
136387	Chantilly, Bibliothèque et archives du musée Condé, 40 - 1447	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	40	d1e96235	B	modified_CMDF_1enr.xml	1	I
140540	Chantilly, Bibliothèque et archives du musée Condé, 420 - 712	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	420	d1e25458	A	modified_CMDF_1enr.xml	1	I
141816	Chantilly, Bibliothèque et archives du musée Condé, 421 - 1001	146473	Chantilly, Bibliothèque et archives du musée Condé	Chantilly, Bibliothèque et archives du musée Condé	421	d1e132873	X	modified_CMDF_1enr.xml	1	I
